,datetime_utc,o3_dpw,o3_pema,o3_pha,mean_o3,std_o3,rsd_o3
1335,2025-02-10 15:00:00+00:00,43.3591,44.52166666666667,43.61595,43.83223888888889,0.6107175912021089,0.013933068597071385
1337,2025-02-10 17:00:00+00:00,45.089166666666664,46.24626666666666,46.25071666666667,45.86205,0.6693402989760405,0.014594644133352968
1359,2025-02-11 15:00:00+00:00,45.06121666666666,45.3238,46.085233333333335,45.49008333333333,0.5318741802448351,0.011692090699141428
1360,2025-02-11 16:00:00+00:00,46.201116666666664,47.24288333333333,47.1169,46.853633333333335,0.5685960343493254,0.012135580400011498
1362,2025-02-11 18:00:00+00:00,46.0771,46.78945,46.3375,46.40135,0.3604417393976459,0.0077679149291485245
1364,2025-02-11 20:00:00+00:00,,46.71083333333333,46.47023333333333,46.59053333333333,0.17012989155348376,0.003651597854359908
1365,2025-02-11 21:00:00+00:00,44.69142105263158,44.54575,44.784016666666666,44.67372923976608,0.1201145340621283,0.00268870622860849
1367,2025-02-11 23:00:00+00:00,39.70191666666666,39.38656666666667,40.04693333333333,39.71180555555555,0.3302943780988437,0.008317284330896827
1368,2025-02-12 00:00:00+00:00,36.81375,36.62045,36.05276666666667,36.49565555555556,0.3955428528313003,0.010838080500545735
1401,2025-02-13 09:00:00+00:00,39.853433333333335,39.050050000000006,39.01655,39.306677777777786,0.47380037003800124,0.012053940877849171
1414,2025-02-13 22:00:00+00:00,37.84385,37.127316666666665,37.092666666666666,37.35461111111112,0.4240473716767125,0.011351941810219509
1415,2025-02-13 23:00:00+00:00,36.81153333333334,36.7955,35.95995,36.522327777777775,0.4870994155695003,0.013337030939902982
1490,2025-02-17 02:00:00+00:00,36.75015,37.051566666666666,36.30025,36.70065555555556,0.37809583233080774,0.010302154732862083
1528,2025-02-18 16:00:00+00:00,44.14758333333334,44.1729,43.51968333333333,43.94672222222223,0.37004309596366053,0.008420266114330216
1529,2025-02-18 17:00:00+00:00,44.8748,45.004933333333334,43.84008333333334,44.57327222222222,0.6382853054894022,0.014319911320559991
1548,2025-02-19 12:00:00+00:00,38.56365,39.28168333333333,38.7194,38.854911111111115,0.377710752918645,0.009721055643095609
1549,2025-02-19 13:00:00+00:00,42.516783333333336,42.08775,41.40975,42.004761111111115,0.5581631186642817,0.013288091728169266
1550,2025-02-19 14:00:00+00:00,42.197700000000005,42.239783333333335,42.33101666666666,42.25616666666667,0.06815162221921461,0.0016128207453558559
1551,2025-02-19 15:00:00+00:00,42.86043333333334,43.250366666666665,42.68181666666667,42.93087222222223,0.29074645900840135,0.006772433075745962
1553,2025-02-19 17:00:00+00:00,43.75358333333334,44.584966666666666,44.22533333333333,44.187961111111115,0.4169497259640292,0.009435821782218114
1554,2025-02-19 18:00:00+00:00,44.3068,45.25363333333333,44.851866666666666,44.804100000000005,0.4752205604886111,0.010606631100470963
1555,2025-02-19 19:00:00+00:00,44.144816666666664,45.337716666666665,44.90073333333333,44.79442222222222,0.6035139946672818,0.013472971962296737
1580,2025-02-20 20:00:00+00:00,34.812149999999995,35.6849,35.57171666666667,35.356255555555556,0.47459536283652004,0.013423236012387813
1603,2025-02-21 19:00:00+00:00,45.74608333333333,46.86528333333333,45.918866666666666,46.176744444444445,0.6025179426404684,0.013048081883844407
1604,2025-02-21 20:00:00+00:00,46.5453,47.02618333333333,45.70376666666667,46.42508333333333,0.6693545363092526,0.014417950130606535
